headline,date,time,view,like,share,comment,category,tag
ประวิตร เชื่อ ‘ผบ.ทบ.’ เจตนาดี อยากเห็นบ้านเมืองสงบ ชี้ตำแหน่งนี้ต้องโปรดเกล้าฯ ล่ารายชื่อถอดถอนไม่มีระเบียบรองรับ,05.04.2019,,181K,,Loading...,,"Thailand,Politics","ประวิตร วงษ์สุวรรณ,อภิรัชต์ คงสมพงษ์"
‘ดุสิต เซ็นทรัล พาร์ค’ ปรากฏการณ์มิกซ์ยูส 3.67 หมื่นล้านบาท รวมโรงแรม-ห้างฯ-ออฟฟิศ-คอนโด ที่เดียวบนหัวมุมถนนสีลม,03.04.2019,,749K,,Loading...,,Business,"บริษัท เซ็นทรัลพัฒนา จำกัด (มหาชน),โรงแรมดุสิตธานี"
แบงก์ชาติผลักดันการใช้เงินสกุลท้องถิ่น ลดภาระผู้ประกอบการทำธุรกรรม พบค่าโอนเงินต่างประเทศสูงระดับโลก,05.04.2019,,200K,,Loading...,,Business,"Asean,ธนาคารแห่งประเทศไทย"
วาฬตั้งท้องเกยตื้นตายริมชายหาดอิตาลี พบขยะพลาสติกในท้องหนักถึง 22 กิโลกรัม,02.04.2019,,124K,,Loading...,,Environment,"ขยะในทะเล,ขยะพลาสติก"
วีซ่าเผย E-Payment เติบโตต่อเนื่อง กลุ่มตัวอย่าง 85% ต้องการจ่ายเงินทุกอย่างจบในแอปฯ เดียว,03.04.2019,,62K,,Loading...,,Business,"e-payment,visa,Cashless Society"
จับตา Central.co.th ความหวังกลุ่มเซ็นทรัลดันออมนิแชนแนลแตะหมื่นล้าน ขึ้นอันดับ 1 ในอีก 5 ปี,02.04.2019,,191K,,Loading...,,Business,"Ecommerce,บริษัท สรรพสินค้าเซ็นทรัล จำกัด,JD CENTRAL,Central.co.th"
รมว.คลัง-ผู้ว่าแบงก์ชาติชื่นมื่น ปิดฉากประชุมธนาคารกลาง-กระทรวงคลังอาเซียน 2019,05.04.2019,,28K,,Loading...,,Business,"กระทรวงการคลัง,แบงก์ชาติ,อภิศักดิ์ ตันติวรวงศ์,วิรไท สันติประภพ"
รายงานเผย นักบินเอธิโอเปียนแอร์ไลน์สสั่งดึงเครื่องบินเชิดหัวขึ้น 3 ครั้งก่อนตก,05.04.2019,,197K,,Loading...,,World,"Boeing,Ethiopian Airlines"
ประยุทธ์ ส่งสารจากนายกรัฐมนตรี เผยมีคนพยายามบิดเบือนข่าวสาร ยืนยันไม่ใช้อำนาจพิเศษ ขอความร่วมมือช่วยกันสอดส่องดูแล,01.04.2019,,200K,,Loading...,,"Thailand,Politics",ประยุทธ์ จันทร์โอชา
"Lyft ผู้ให้บริการร่วมเดินทางในสหรัฐฯ IPO ดีเกินคาด ส่งมูลค่าบริษัททะยาน 26,500 ล้านเหรียญ",01.04.2019,,87K,,Loading...,,"Business,Tech","Lyft,Ride-Hailing,IPO"
ฝุ่นพิษ 8 จังหวัดภาคเหนือ ทำคุณภาพอากาศภาพรวมเริ่มมีผลกระทบต่อสุขภาพ ปภ. สนธิกำลังดับไฟป่าเต็มที่,01.04.2019,,128K,,Loading...,,"Thailand,Environment","มลภาวะทางอากาศ,PM2.5"
ศาลหมู่เกาะเคย์แมนมีมติอนุญาตให้คู่รักเพศเดียว สามารถสมรสกันได้อย่างถูกต้องตามกฎหมาย,01.04.2019,,61K,,Loading...,,"World,LGBTQ","LGBTQ,Chantelle Day,Vickie Bodden,Cayman Islands"
‘ยอดแสนไกล-รถถัง’ สองนักชกไทยคว้าชัยในศึก ONE Championship: A New Era ที่ญี่ปุ่น,31.03.2019,,73K,,Loading...,,Sport,"ONE Championship,ยอดแสนไกล IWE แฟร์เท็กซ์,รถถัง จิตรเมืองนนท์"
5 ปี รายการเดินหน้าประเทศไทย สถานีโทรทัศน์สูญเสียไปเท่าไร,29.03.2019,,708K,,Loading...,,"Thailand,TV & Entertainment,POP","ประยุทธ์ จันทร์โอชา,เดินหน้าประเทศไทย,เดินหน้าประเทศไทยวัยทีน"
ดาราตลกมีคะแนนนำโปโรเชนโกในศึกเลือกตั้งประธานาธิบดียูเครนรอบแรก,01.04.2019,,69K,,Loading...,,World,"Ukraine,Ukraine election,Volodymyr Zelenskiy"
Google เปิดให้เล่นเกมเจ้างูน้อยบน Google Maps ได้ชั่วคราว 1 สัปดาห์ ต้อนรับวัน April Fool’s Day,01.04.2019,,381K,,Loading...,,Tech,"Google,Google Maps,April Fool's Day"
ธนกรซัดธนาธร กลับคำหนุนหญิงหน่อย วอนหยุดวาทกรรมสร้างความขัดแย้ง,30.03.2019,,"2,568K",,Loading...,,"Thailand,Politics","พรรคพลังประชารัฐ,ธนกร วังบุญคงชนะ"
นายกฯ เป็นห่วงปัญหาฝุ่นควันภาคเหนือ เชียงใหม่ระดมฉีดน้ำรอบคูเมือง แนะให้ความร่วมมือภาครัฐ,30.03.2019,,696K,,Loading...,,"Thailand,Politics","ประยุทธ์ จันทร์โอชา,อธิสิทธิ์ ไชยนุวัติ,PM2.5,สถานการณ์ฝุ่น PM2.5"
คิง เพาเวอร์ ไทย อวดโฉมมรดกไทยสู่สายตาชาวโลกผ่านคอลเล็กชันผ้าทอตีนจกพื้นถิ่นย้อมสีธรรมชาติของสโมสรเลสเตอร์ ซิตี้,30.03.2019,,155K,,Loading...,,Sport,"Leicester City,คิง เพาเวอร์,Thai Natural Dye,ผ้าทอตีนจก"
สมเด็จพระเจ้าอยู่หัวมีพระราชโองการโปรดเกล้าฯ เรียกคืนเครื่องราชฯ ‘ทักษิณ ชินวัตร’,30.03.2019,,379K,,Loading...,,Thailand,"ทักษิณ ชินวัตร,สมเด็จพระเจ้าอยู่หัวมหาวชิราลงกรณ บดินทรเทพยวรางกูร,ราชกิจจานุเบกษา"
แฟนเพจคณะนิติศาสตร์ มช. เรียกร้องขับไล่ผู้ว่าฯ เชียงใหม่ แก้ปัญหาฝุ่นควันล้มเหลว,30.03.2019,,"1,174K",,Loading...,,Thailand,"เชียงใหม่,PM2.5,ปัญหามลพิษ"
"ค่าฝุ่นเชียงรายยังสูงสุดในไทย พบจุดความร้อนภาคเหนือมากกว่า 3,088 จุด",01.04.2019,,195K,,Loading...,,"Thailand,Environment","เชียงราย,มลภาวะทางอากาศ,PM2.5"
ประชาชนมอบดอกไม้ให้กำลังใจ กกต. บอกนักการเมืองคนใดยอมรับกติกาไม่ได้ ก็ไม่ต้องให้ กกต. รับรอง,01.04.2019,,388K,,Loading...,,"Thailand,Politics",กกต.
สภาผู้แทนราษฎรสหราชอาณาจักรคว่ำร่าง Brexit รอบสาม หวั่นปิดฉากแบบปราศจากข้อตกลง 12 เมษายนนี้,30.03.2019,,124K,,Loading...,,World,"Brexit,EU"
นิด้าโพล เผยประชาชนเชื่อมั่นเลือกตั้งบริสุทธิ์ยุติธรรมปานกลาง ด้าน สวนดุสิตโพล บอกชาวบ้านผิดหวัง ไม่โปร่งใส,01.04.2019,,338K,,Loading...,,"Thailand,Politics","การเลือกตั้ง,สวนดุสิตโพล,เลือกตั้ง ส.ส.,นิด้าโพล"
สภากาชาดสากลเตรียมส่งความช่วยเหลือเข้าเวเนซุเอลา หลังไฟฟ้าดับทั่วประเทศนานร่วมสัปดาห์อีกครั้ง,30.03.2019,,159K,,Loading...,,World,"Venezuela,วิกฤตเวเนซุเอลา,IFRC"
ผู้กองปูเค็ม ยื่น กกต. ยุบอนาคตใหม่ อ้างธนาธรหมิ่นศาล ปลุกคนไม่เคารพกฎหมาย-ยื่นยุบเพื่อชาติ บอกจตุพรครอบงำ,29.03.2019,,670K,,Loading...,,"Thailand,Politics","ทักษิณ ชินวัตร,กกต.,ธนาธร จึงรุ่งเรืองกิจ,พรรคอนาคตใหม่,ทรงกลด ชื่นชูผล,ผู้กองปูเค็ม"
‘ประยุทธ์’ ออกสารนายกรัฐมนตรี ชี้ความสงบสุขเป็นสิ่งสำคัญที่จะพาประเทศก้าวต่อไป,29.03.2019,,273K,,Loading...,,"Thailand,Politics",ประยุทธ์ จันทร์โอชา
